country,continent,year,lifeExp,pop,gdpPercap
China,Asia,1997,70.426,1230075000,2289.234136
China,Asia,2007,72.961,1318683096,4959.114854
India,Asia,1997,61.765,1012000000,1458.817442
India,Asia,2007,64.698,1110396331,2452.210407
United States,Americas,1997,76.81,272911760,35767.43303
United States,Americas,2007,78.242,301139947,42951.65309
Germany,Europe,1997,77.34,82164700,27788.88416
Germany,Europe,2007,79.406,82400996,32170.37442
Brazil,Americas,1997,69.388,168546719,7957.980824
Brazil,Americas,2007,72.39,190010647,9065.800825
South Africa,Africa,1997,53.365,42835005,7479.188244
South Africa,Africa,2007,49.339,43997828,9269.657808
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,2007,82.603,127467972,31656.06806
Canada,Americas,1997,78.61,30305843,28954.92589
Canada,Americas,2007,80.653,33390141,36319.23501
